sx,sz,rx,rz,t_obs
40.0,8.0,1728.0,8.0,0.744
40.0,8.0,1744.0,8.0,0.0
40.0,8.0,1760.0,8.0,0.0
40.0,8.0,1776.0,8.0,0.0
40.0,8.0,1792.0,8.0,0.0
40.0,8.0,1808.0,8.0,0.768
40.0,8.0,1824.0,8.0,0.776
40.0,8.0,1840.0,8.0,0.784
40.0,8.0,1856.0,8.0,0.792
40.0,8.0,1872.0,8.0,0.796
40.0,8.0,1888.0,8.0,0.8
40.0,8.0,1904.0,8.0,0.804
40.0,8.0,1920.0,8.0,0.0
40.0,8.0,1936.0,8.0,0.0
40.0,8.0,1952.0,8.0,0.0
40.0,8.0,1968.0,8.0,0.0
40.0,8.0,1984.0,8.0,0.0
40.0,8.0,2000.0,8.0,0.0
40.0,8.0,2016.0,8.0,0.844
40.0,8.0,2032.0,8.0,0.0
40.0,8.0,2048.0,8.0,0.0
40.0,8.0,2064.0,8.0,0.868
40.0,8.0,2080.0,8.0,0.876
40.0,8.0,2096.0,8.0,0.884
40.0,8.0,2112.0,8.0,0.0
40.0,8.0,2128.0,8.0,0.0
40.0,8.0,2144.0,8.0,0.0
40.0,8.0,2160.0,8.0,0.904
40.0,8.0,2176.0,8.0,0.0
40.0,8.0,2192.0,8.0,0.0
40.0,8.0,2208.0,8.0,0.0
40.0,8.0,2224.0,8.0,0.0
40.0,8.0,2240.0,8.0,0.9400000000000001
40.0,8.0,2256.0,8.0,0.9440000000000001
40.0,8.0,2272.0,8.0,0.9520000000000001
40.0,8.0,2288.0,8.0,0.9560000000000001
40.0,8.0,2304.0,8.0,0.96
40.0,8.0,2320.0,8.0,0.0
40.0,8.0,2336.0,8.0,0.0
40.0,8.0,2352.0,8.0,0.0
40.0,8.0,2368.0,8.0,0.0
40.0,8.0,2384.0,8.0,1.0
40.0,8.0,2400.0,8.0,0.996
40.0,8.0,2416.0,8.0,0.996
40.0,8.0,2432.0,8.0,1.004
40.0,8.0,2448.0,8.0,1.024
40.0,8.0,2464.0,8.0,1.092
40.0,8.0,2480.0,8.0,1.096
40.0,8.0,2496.0,8.0,1.084
40.0,8.0,2512.0,8.0,0.0
40.0,8.0,2528.0,8.0,0.0
40.0,8.0,2544.0,8.0,0.0
40.0,8.0,2560.0,8.0,0.0
40.0,8.0,2576.0,8.0,1.112
40.0,8.0,2592.0,8.0,0.0
40.0,8.0,2608.0,8.0,0.0
40.0,8.0,2624.0,8.0,0.0
40.0,8.0,2640.0,8.0,0.0
40.0,8.0,2656.0,8.0,1.16
40.0,8.0,2672.0,8.0,1.168
40.0,8.0,2688.0,8.0,1.172
40.0,8.0,2704.0,8.0,1.172
40.0,8.0,2720.0,8.0,1.18
40.0,8.0,2736.0,8.0,1.188
40.0,8.0,2752.0,8.0,1.24
40.0,8.0,2768.0,8.0,0.0
40.0,8.0,2784.0,8.0,0.0
40.0,8.0,2800.0,8.0,0.0
40.0,8.0,2816.0,8.0,0.0
40.0,8.0,2832.0,8.0,0.0
40.0,8.0,2848.0,8.0,1.308
40.0,8.0,2864.0,8.0,1.316
40.0,8.0,2880.0,8.0,1.32
40.0,8.0,2896.0,8.0,0.0
40.0,8.0,2912.0,8.0,1.336
40.0,8.0,2928.0,8.0,0.0
40.0,8.0,2944.0,8.0,0.0
40.0,8.0,2960.0,8.0,1.356
40.0,8.0,2976.0,8.0,1.364
40.0,8.0,2992.0,8.0,1.372
40.0,8.0,3008.0,8.0,1.3800000000000001
40.0,8.0,3024.0,8.0,1.3880000000000001
40.0,8.0,3040.0,8.0,1.3920000000000001
40.0,8.0,3056.0,8.0,0.0
40.0,8.0,3072.0,8.0,0.0
40.0,8.0,3088.0,8.0,1.304
40.0,8.0,3104.0,8.0,1.304
40.0,8.0,3120.0,8.0,1.312
40.0,8.0,3136.0,8.0,1.44
40.0,8.0,3152.0,8.0,1.344
40.0,8.0,3168.0,8.0,1.344
40.0,8.0,3184.0,8.0,0.0
40.0,8.0,3200.0,8.0,0.0
40.0,8.0,3216.0,8.0,1.476
40.0,8.0,3232.0,8.0,1.3840000000000001
40.0,8.0,3248.0,8.0,1.3920000000000001
40.0,8.0,3264.0,8.0,1.3960000000000001
40.0,8.0,3280.0,8.0,0.0
40.0,8.0,3296.0,8.0,0.0
40.0,8.0,3312.0,8.0,0.0
40.0,8.0,3328.0,8.0,0.0
40.0,8.0,3344.0,8.0,0.0
40.0,8.0,3360.0,8.0,1.448
40.0,8.0,3376.0,8.0,1.46
40.0,8.0,3392.0,8.0,1.46
40.0,8.0,3408.0,8.0,0.0
40.0,8.0,3424.0,8.0,0.0
40.0,8.0,3440.0,8.0,0.0
40.0,8.0,3456.0,8.0,0.0
40.0,8.0,3472.0,8.0,1.5
40.0,8.0,3488.0,8.0,0.0
40.0,8.0,3504.0,8.0,0.0
40.0,8.0,3520.0,8.0,0.0
40.0,8.0,3536.0,8.0,0.0
40.0,8.0,3552.0,8.0,1.556
40.0,8.0,3568.0,8.0,1.576
40.0,8.0,3584.0,8.0,1.584
40.0,8.0,3600.0,8.0,0.0
40.0,8.0,3616.0,8.0,0.0
40.0,8.0,3632.0,8.0,1.5
40.0,8.0,3648.0,8.0,1.572
40.0,8.0,3664.0,8.0,1.604
40.0,8.0,3680.0,8.0,1.608
40.0,8.0,3696.0,8.0,1.616
40.0,8.0,3712.0,8.0,1.6320000000000001
40.0,8.0,3728.0,8.0,1.6320000000000001
40.0,8.0,3744.0,8.0,0.0
40.0,8.0,3760.0,8.0,0.0
40.0,8.0,3776.0,8.0,0.0
40.0,8.0,3792.0,8.0,1.668
40.0,8.0,3808.0,8.0,0.0
40.0,8.0,3824.0,8.0,0.0
40.0,8.0,3840.0,8.0,0.0
40.0,8.0,3856.0,8.0,0.0
40.0,8.0,3872.0,8.0,0.0
40.0,8.0,3888.0,8.0,0.0
40.0,8.0,3904.0,8.0,0.0
40.0,8.0,3920.0,8.0,0.0
40.0,8.0,3936.0,8.0,0.0
40.0,8.0,3952.0,8.0,0.0
40.0,8.0,3968.0,8.0,0.0
40.0,8.0,3984.0,8.0,1.76
236.0,8.0,0.0,8.0,0.14
236.0,8.0,16.0,8.0,0.136
236.0,8.0,32.0,8.0,0.128
236.0,8.0,48.0,8.0,0.124
236.0,8.0,64.0,8.0,0.116
236.0,8.0,80.0,8.0,0.108
236.0,8.0,96.0,8.0,0.1
236.0,8.0,112.0,8.0,0.096
236.0,8.0,128.0,8.0,0.088
236.0,8.0,144.0,8.0,0.084
236.0,8.0,160.0,8.0,0.076
236.0,8.0,176.0,8.0,0.068
236.0,8.0,192.0,8.0,0.06
236.0,8.0,208.0,8.0,0.052000000000000005
236.0,8.0,224.0,8.0,0.04
236.0,8.0,240.0,8.0,0.036000000000000004
236.0,8.0,256.0,8.0,0.044
236.0,8.0,272.0,8.0,0.056
236.0,8.0,288.0,8.0,0.064
236.0,8.0,304.0,8.0,0.07200000000000001
236.0,8.0,320.0,8.0,0.076
236.0,8.0,336.0,8.0,0.084
236.0,8.0,352.0,8.0,0.088
236.0,8.0,368.0,8.0,0.092
236.0,8.0,384.0,8.0,0.1
236.0,8.0,400.0,8.0,0.108
236.0,8.0,416.0,8.0,0.112
236.0,8.0,432.0,8.0,0.12
236.0,8.0,448.0,8.0,0.124
236.0,8.0,464.0,8.0,0.132
236.0,8.0,480.0,8.0,0.14
236.0,8.0,496.0,8.0,0.148
236.0,8.0,512.0,8.0,0.152
236.0,8.0,528.0,8.0,0.16
236.0,8.0,544.0,8.0,0.164
236.0,8.0,560.0,8.0,0.17200000000000001
236.0,8.0,576.0,8.0,0.176
236.0,8.0,592.0,8.0,0.184
236.0,8.0,608.0,8.0,0.192
236.0,8.0,624.0,8.0,0.2
236.0,8.0,640.0,8.0,0.20400000000000001
236.0,8.0,656.0,8.0,0.212
236.0,8.0,672.0,8.0,0.216
236.0,8.0,688.0,8.0,0.224
236.0,8.0,704.0,8.0,0.232
236.0,8.0,720.0,8.0,0.24
236.0,8.0,736.0,8.0,0.248
236.0,8.0,752.0,8.0,0.256
236.0,8.0,768.0,8.0,0.26
236.0,8.0,784.0,8.0,0.264
236.0,8.0,800.0,8.0,0.272
236.0,8.0,816.0,8.0,0.276
236.0,8.0,832.0,8.0,0.28400000000000003
236.0,8.0,848.0,8.0,0.292
236.0,8.0,864.0,8.0,0.296
236.0,8.0,880.0,8.0,0.304
236.0,8.0,896.0,8.0,0.312
236.0,8.0,912.0,8.0,0.32
236.0,8.0,928.0,8.0,0.324
236.0,8.0,944.0,8.0,0.332
236.0,8.0,960.0,8.0,0.336
236.0,8.0,976.0,8.0,0.0
236.0,8.0,992.0,8.0,0.0
236.0,8.0,1008.0,8.0,0.0
236.0,8.0,1024.0,8.0,0.368
236.0,8.0,1040.0,8.0,0.372
236.0,8.0,1056.0,8.0,0.38
236.0,8.0,1072.0,8.0,0.384
236.0,8.0,1088.0,8.0,0.392
236.0,8.0,1104.0,8.0,0.4
236.0,8.0,1120.0,8.0,0.404
236.0,8.0,1136.0,8.0,0.41200000000000003
236.0,8.0,1152.0,8.0,0.42
236.0,8.0,1168.0,8.0,0.428
236.0,8.0,1184.0,8.0,0.436
236.0,8.0,1200.0,8.0,0.0
236.0,8.0,1216.0,8.0,0.444
236.0,8.0,1232.0,8.0,0.452
236.0,8.0,1248.0,8.0,0.46
236.0,8.0,1264.0,8.0,0.468
236.0,8.0,1280.0,8.0,0.47200000000000003
236.0,8.0,1296.0,8.0,0.48
236.0,8.0,1312.0,8.0,0.488
236.0,8.0,1328.0,8.0,0.496
236.0,8.0,1344.0,8.0,0.504
236.0,8.0,1360.0,8.0,0.512
236.0,8.0,1376.0,8.0,0.516
236.0,8.0,1392.0,8.0,0.52
236.0,8.0,1408.0,8.0,0.528
236.0,8.0,1424.0,8.0,0.532
236.0,8.0,1440.0,8.0,0.54
236.0,8.0,1456.0,8.0,0.548
236.0,8.0,1472.0,8.0,0.552
236.0,8.0,1488.0,8.0,0.56
236.0,8.0,1504.0,8.0,0.5640000000000001
236.0,8.0,1520.0,8.0,0.5720000000000001
236.0,8.0,1536.0,8.0,0.58
236.0,8.0,1552.0,8.0,0.0
236.0,8.0,1568.0,8.0,0.0
236.0,8.0,1584.0,8.0,0.0
236.0,8.0,1600.0,8.0,0.0
236.0,8.0,1616.0,8.0,0.608
236.0,8.0,1632.0,8.0,0.616
236.0,8.0,1648.0,8.0,0.62
236.0,8.0,1664.0,8.0,0.628
236.0,8.0,1680.0,8.0,0.632
236.0,8.0,1696.0,8.0,0.64
236.0,8.0,1712.0,8.0,0.648
236.0,8.0,1728.0,8.0,0.656
236.0,8.0,1744.0,8.0,0.66
236.0,8.0,1760.0,8.0,0.664
236.0,8.0,1776.0,8.0,0.0
236.0,8.0,1792.0,8.0,0.0
236.0,8.0,1808.0,8.0,0.0
236.0,8.0,1824.0,8.0,0.684
236.0,8.0,1840.0,8.0,0.6880000000000001
236.0,8.0,1856.0,8.0,0.0
236.0,8.0,1872.0,8.0,0.0
236.0,8.0,1888.0,8.0,0.712
236.0,8.0,1904.0,8.0,0.716
236.0,8.0,1920.0,8.0,0.72
236.0,8.0,1936.0,8.0,0.0
236.0,8.0,1952.0,8.0,0.732
236.0,8.0,1968.0,8.0,0.0
236.0,8.0,1984.0,8.0,0.0
236.0,8.0,2000.0,8.0,0.752
236.0,8.0,2016.0,8.0,0.76
236.0,8.0,2032.0,8.0,0.768
236.0,8.0,2048.0,8.0,0.772
236.0,8.0,2064.0,8.0,0.78
236.0,8.0,2080.0,8.0,0.0
236.0,8.0,2096.0,8.0,0.0
236.0,8.0,2112.0,8.0,0.0
236.0,8.0,2128.0,8.0,0.796
236.0,8.0,2144.0,8.0,0.804
236.0,8.0,2160.0,8.0,0.812
236.0,8.0,2176.0,8.0,0.8160000000000001
236.0,8.0,2192.0,8.0,0.0
236.0,8.0,2208.0,8.0,0.0
236.0,8.0,2224.0,8.0,0.0
236.0,8.0,2240.0,8.0,0.0
236.0,8.0,2256.0,8.0,0.852
236.0,8.0,2272.0,8.0,0.86
236.0,8.0,2288.0,8.0,0.872
236.0,8.0,2304.0,8.0,0.0
236.0,8.0,2320.0,8.0,0.0
236.0,8.0,2336.0,8.0,0.884
236.0,8.0,2352.0,8.0,0.884
236.0,8.0,2368.0,8.0,0.892
236.0,8.0,2384.0,8.0,0.896
236.0,8.0,2400.0,8.0,0.9
236.0,8.0,2416.0,8.0,0.904
236.0,8.0,2432.0,8.0,0.0
236.0,8.0,2448.0,8.0,0.0
236.0,8.0,2464.0,8.0,0.98
236.0,8.0,2480.0,8.0,0.9520000000000001
236.0,8.0,2496.0,8.0,0.0
236.0,8.0,2512.0,8.0,0.0
236.0,8.0,2528.0,8.0,0.0
236.0,8.0,2544.0,8.0,0.0
236.0,8.0,2560.0,8.0,1.004
236.0,8.0,2576.0,8.0,1.024
236.0,8.0,2592.0,8.0,1.024
236.0,8.0,2608.0,8.0,1.012
236.0,8.0,2624.0,8.0,1.032
236.0,8.0,2640.0,8.0,1.044
236.0,8.0,2656.0,8.0,1.052
236.0,8.0,2672.0,8.0,1.1360000000000001
236.0,8.0,2688.0,8.0,1.06
236.0,8.0,2704.0,8.0,0.0
236.0,8.0,2720.0,8.0,0.0
236.0,8.0,2736.0,8.0,0.0
236.0,8.0,2752.0,8.0,0.0
236.0,8.0,2768.0,8.0,0.0
236.0,8.0,2784.0,8.0,1.1320000000000001
236.0,8.0,2800.0,8.0,0.0
236.0,8.0,2816.0,8.0,0.0
236.0,8.0,2832.0,8.0,1.208
236.0,8.0,2848.0,8.0,1.216
236.0,8.0,2864.0,8.0,1.228
236.0,8.0,2880.0,8.0,1.232
236.0,8.0,2896.0,8.0,1.24
236.0,8.0,2912.0,8.0,0.0
236.0,8.0,2928.0,8.0,1.252
236.0,8.0,2944.0,8.0,1.26
236.0,8.0,2960.0,8.0,1.268
236.0,8.0,2976.0,8.0,1.276
236.0,8.0,2992.0,8.0,0.0
236.0,8.0,3008.0,8.0,0.0
236.0,8.0,3024.0,8.0,1.3
236.0,8.0,3040.0,8.0,1.308
236.0,8.0,3056.0,8.0,1.312
236.0,8.0,3072.0,8.0,1.32
236.0,8.0,3088.0,8.0,0.0
236.0,8.0,3104.0,8.0,1.196
236.0,8.0,3120.0,8.0,1.196
236.0,8.0,3136.0,8.0,1.216
236.0,8.0,3152.0,8.0,1.32
236.0,8.0,3168.0,8.0,1.328
236.0,8.0,3184.0,8.0,0.0
236.0,8.0,3200.0,8.0,1.252
236.0,8.0,3216.0,8.0,1.26
236.0,8.0,3232.0,8.0,1.272
236.0,8.0,3248.0,8.0,1.272
236.0,8.0,3264.0,8.0,1.276
236.0,8.0,3280.0,8.0,0.0
236.0,8.0,3296.0,8.0,0.0
236.0,8.0,3312.0,8.0,0.0
236.0,8.0,3328.0,8.0,1.4040000000000001
236.0,8.0,3344.0,8.0,1.412
236.0,8.0,3360.0,8.0,1.42
236.0,8.0,3376.0,8.0,1.424
236.0,8.0,3392.0,8.0,0.0
236.0,8.0,3408.0,8.0,0.0
236.0,8.0,3424.0,8.0,1.364
236.0,8.0,3440.0,8.0,1.46
236.0,8.0,3456.0,8.0,1.3760000000000001
236.0,8.0,3472.0,8.0,1.328
236.0,8.0,3488.0,8.0,0.0
236.0,8.0,3504.0,8.0,0.0
236.0,8.0,3520.0,8.0,0.0
236.0,8.0,3536.0,8.0,0.0
236.0,8.0,3552.0,8.0,0.0
236.0,8.0,3568.0,8.0,1.3840000000000001
236.0,8.0,3584.0,8.0,1.3880000000000001
236.0,8.0,3600.0,8.0,1.56
236.0,8.0,3616.0,8.0,1.568
236.0,8.0,3632.0,8.0,0.0
236.0,8.0,3648.0,8.0,1.428
236.0,8.0,3664.0,8.0,1.436
236.0,8.0,3680.0,8.0,1.444
236.0,8.0,3696.0,8.0,0.0
236.0,8.0,3712.0,8.0,0.0
236.0,8.0,3728.0,8.0,0.0
236.0,8.0,3744.0,8.0,1.564
236.0,8.0,3760.0,8.0,1.6320000000000001
236.0,8.0,3776.0,8.0,1.584
236.0,8.0,3792.0,8.0,0.0
236.0,8.0,3808.0,8.0,1.504
236.0,8.0,3824.0,8.0,1.508
236.0,8.0,3840.0,8.0,0.0
236.0,8.0,3856.0,8.0,0.0
236.0,8.0,3872.0,8.0,0.0
236.0,8.0,3888.0,8.0,0.0
236.0,8.0,3904.0,8.0,0.0
236.0,8.0,3920.0,8.0,0.0
236.0,8.0,3936.0,8.0,1.6520000000000001
236.0,8.0,3952.0,8.0,0.0
236.0,8.0,3968.0,8.0,0.0
236.0,8.0,3984.0,8.0,0.0
432.0,8.0,0.0,8.0,0.22
432.0,8.0,16.0,8.0,0.216
432.0,8.0,32.0,8.0,0.20800000000000002
432.0,8.0,48.0,8.0,0.2
432.0,8.0,64.0,8.0,0.196
432.0,8.0,80.0,8.0,0.188
432.0,8.0,96.0,8.0,0.18
432.0,8.0,112.0,8.0,0.176
432.0,8.0,128.0,8.0,0.168
432.0,8.0,144.0,8.0,0.164
432.0,8.0,160.0,8.0,0.156
432.0,8.0,176.0,8.0,0.148
432.0,8.0,192.0,8.0,0.14
432.0,8.0,208.0,8.0,0.132
432.0,8.0,224.0,8.0,0.124
432.0,8.0,240.0,8.0,0.12
432.0,8.0,256.0,8.0,0.112
432.0,8.0,272.0,8.0,0.10400000000000001
432.0,8.0,288.0,8.0,0.096
432.0,8.0,304.0,8.0,0.092
432.0,8.0,320.0,8.0,0.084
432.0,8.0,336.0,8.0,0.08
432.0,8.0,352.0,8.0,0.07200000000000001
432.0,8.0,368.0,8.0,0.068
432.0,8.0,384.0,8.0,0.06
432.0,8.0,400.0,8.0,0.052000000000000005
432.0,8.0,416.0,8.0,0.044
432.0,8.0,432.0,8.0,0.036000000000000004
432.0,8.0,448.0,8.0,0.044
432.0,8.0,464.0,8.0,0.052000000000000005
432.0,8.0,480.0,8.0,0.06
432.0,8.0,496.0,8.0,0.068
432.0,8.0,512.0,8.0,0.07200000000000001
432.0,8.0,528.0,8.0,0.076
432.0,8.0,544.0,8.0,0.084
432.0,8.0,560.0,8.0,0.088
432.0,8.0,576.0,8.0,0.096
432.0,8.0,592.0,8.0,0.1
432.0,8.0,608.0,8.0,0.108
432.0,8.0,624.0,8.0,0.116
432.0,8.0,640.0,8.0,0.12
432.0,8.0,656.0,8.0,0.128
432.0,8.0,672.0,8.0,0.136
432.0,8.0,688.0,8.0,0.14400000000000002
432.0,8.0,704.0,8.0,0.148
432.0,8.0,720.0,8.0,0.156
432.0,8.0,736.0,8.0,0.164
432.0,8.0,752.0,8.0,0.168
432.0,8.0,768.0,8.0,0.17200000000000001
432.0,8.0,784.0,8.0,0.18
432.0,8.0,800.0,8.0,0.184
432.0,8.0,816.0,8.0,0.192
432.0,8.0,832.0,8.0,0.2
432.0,8.0,848.0,8.0,0.20400000000000001
432.0,8.0,864.0,8.0,0.212
432.0,8.0,880.0,8.0,0.22
432.0,8.0,896.0,8.0,0.224
432.0,8.0,912.0,8.0,0.232
432.0,8.0,928.0,8.0,0.24
432.0,8.0,944.0,8.0,0.248
432.0,8.0,960.0,8.0,0.256
432.0,8.0,976.0,8.0,0.26
432.0,8.0,992.0,8.0,0.264
432.0,8.0,1008.0,8.0,0.272
432.0,8.0,1024.0,8.0,0.28
432.0,8.0,1040.0,8.0,0.28800000000000003
432.0,8.0,1056.0,8.0,0.292
432.0,8.0,1072.0,8.0,0.3
432.0,8.0,1088.0,8.0,0.308
432.0,8.0,1104.0,8.0,0.312
432.0,8.0,1120.0,8.0,0.32
432.0,8.0,1136.0,8.0,0.328
432.0,8.0,1152.0,8.0,0.332
432.0,8.0,1168.0,8.0,0.34
432.0,8.0,1184.0,8.0,0.34400000000000003
432.0,8.0,1200.0,8.0,0.352
432.0,8.0,1216.0,8.0,0.356
432.0,8.0,1232.0,8.0,0.364
432.0,8.0,1248.0,8.0,0.372
432.0,8.0,1264.0,8.0,0.38
432.0,8.0,1280.0,8.0,0.384
432.0,8.0,1296.0,8.0,0.392
432.0,8.0,1312.0,8.0,0.4
432.0,8.0,1328.0,8.0,0.40800000000000003
432.0,8.0,1344.0,8.0,0.41200000000000003
432.0,8.0,1360.0,8.0,0.42
432.0,8.0,1376.0,8.0,0.424
432.0,8.0,1392.0,8.0,0.432
432.0,8.0,1408.0,8.0,0.44
432.0,8.0,1424.0,8.0,0.448
432.0,8.0,1440.0,8.0,0.452
432.0,8.0,1456.0,8.0,0.46
432.0,8.0,1472.0,8.0,0.468
432.0,8.0,1488.0,8.0,0.47600000000000003
432.0,8.0,1504.0,8.0,0.48
432.0,8.0,1520.0,8.0,0.488
432.0,8.0,1536.0,8.0,0.496
432.0,8.0,1552.0,8.0,0.5
432.0,8.0,1568.0,8.0,0.504
432.0,8.0,1584.0,8.0,0.512
432.0,8.0,1600.0,8.0,0.516
432.0,8.0,1616.0,8.0,0.524
432.0,8.0,1632.0,8.0,0.528
432.0,8.0,1648.0,8.0,0.536
432.0,8.0,1664.0,8.0,0.54
432.0,8.0,1680.0,8.0,0.548
432.0,8.0,1696.0,8.0,0.552
432.0,8.0,1712.0,8.0,0.56
432.0,8.0,1728.0,8.0,0.0
432.0,8.0,1744.0,8.0,0.0
432.0,8.0,1760.0,8.0,0.0
432.0,8.0,1776.0,8.0,0.58
432.0,8.0,1792.0,8.0,0.588
432.0,8.0,1808.0,8.0,0.592
432.0,8.0,1824.0,8.0,0.592
432.0,8.0,1840.0,8.0,0.6
432.0,8.0,1856.0,8.0,0.608
432.0,8.0,1872.0,8.0,0.616
432.0,8.0,1888.0,8.0,0.0
432.0,8.0,1904.0,8.0,0.0
432.0,8.0,1920.0,8.0,0.632
432.0,8.0,1936.0,8.0,0.64
432.0,8.0,1952.0,8.0,0.644
432.0,8.0,1968.0,8.0,0.0
432.0,8.0,1984.0,8.0,0.0
432.0,8.0,2000.0,8.0,0.0
432.0,8.0,2016.0,8.0,0.668
432.0,8.0,2032.0,8.0,0.672
432.0,8.0,2048.0,8.0,0.676
432.0,8.0,2064.0,8.0,0.6880000000000001
432.0,8.0,2080.0,8.0,0.6920000000000001
432.0,8.0,2096.0,8.0,0.7000000000000001
432.0,8.0,2112.0,8.0,0.0
432.0,8.0,2128.0,8.0,0.0
432.0,8.0,2144.0,8.0,0.716
432.0,8.0,2160.0,8.0,0.0
432.0,8.0,2176.0,8.0,0.728
432.0,8.0,2192.0,8.0,0.732
432.0,8.0,2208.0,8.0,0.74
432.0,8.0,2224.0,8.0,0.744
432.0,8.0,2240.0,8.0,0.748
432.0,8.0,2256.0,8.0,0.0
432.0,8.0,2272.0,8.0,0.0
432.0,8.0,2288.0,8.0,0.0
432.0,8.0,2304.0,8.0,0.0
432.0,8.0,2320.0,8.0,0.78
432.0,8.0,2336.0,8.0,0.788
432.0,8.0,2352.0,8.0,0.792
432.0,8.0,2368.0,8.0,0.796
432.0,8.0,2384.0,8.0,0.804
432.0,8.0,2400.0,8.0,0.0
432.0,8.0,2416.0,8.0,0.0
432.0,8.0,2432.0,8.0,0.0
432.0,8.0,2448.0,8.0,0.0
432.0,8.0,2464.0,8.0,0.836
432.0,8.0,2480.0,8.0,0.84
432.0,8.0,2496.0,8.0,0.84
432.0,8.0,2512.0,8.0,0.0
432.0,8.0,2528.0,8.0,0.848
